id,c_reg,c_raj,name,name_raj,c_sti
data_ti_sprsti_599,19,4,ЧОРТКIВСЬКА ОДПI ГУ ДФС (ГУСЯТИНСЬКЕ ВIДДIЛЕННЯ),ГУСЯТИНСЬКИЙ Р-Н,1904
data_ti_sprsti_600,19,5,ЧОРТКIВСЬКА ОДПI ГУ ДФС (ЗАЛIЩИЦЬКЕ ВIДДIЛЕННЯ),ЗАЛIЩИЦЬКИЙ Р-Н,1905
data_ti_sprsti_601,19,6,КРЕМЕНЕЦЬКА ОДПI ГУ ДФС (ЗБАРАЗЬКЕ ВIДДIЛЕННЯ),ЗБАРАЗЬКИЙ Р-Н,1906
data_ti_sprsti_602,19,7,БУЧАЦЬКА ОДПI ГУ ДФС (ЗБОРIВСЬКЕ ВIДIЛЕННЯ),ЗБОРIВСЬКИЙ Р-Н,1907
data_ti_sprsti_603,19,8,БУЧАЦЬКА ОДПI ГУ ДФС  (КОЗIВСЬКЕ ВIДДIЛЕННЯ),КОЗIВСЬКИЙ Р-Н,1908
data_ti_sprsti_604,19,9,КРЕМЕНЕЦЬКА ОДПI ГУ ДФС У ТЕРНОПIЛЬСЬКIЙ ОБЛАСТI,КРЕМЕНЕЦЬКИЙ Р-Н,1909
data_ti_sprsti_605,19,10,КРЕМЕНЕЦЬКА ОДПI ГУ ДФС (ЛАНОВЕЦЬКЕ ВIДДIЛЕННЯ),ЛАНОВЕЦЬКИЙ Р-Н,1910
data_ti_sprsti_606,19,11,БУЧАЦЬКА ОДПI ГУ ДФС (МОНАСТИРИСЬКЕ ВIДДIЛЕННЯ),МОНАСТИРИСЬКИЙ Р-Н,1911
data_ti_sprsti_607,19,12,КРЕМЕНЕЦЬКА ОДПI ГУ ДФС (ПIДВОЛОЧИСЬКЕ ВIДДIЛЕННЯ),ПIДВОЛОЧИСЬКИЙ Р-Н,1912
data_ti_sprsti_608,19,13,БУЧАЦЬКА ОДПI ГУ ДФС (ПIДГАЄЦЬКЕ ВIДДIЛЕННЯ),ПIДГАЄЦЬКИЙ Р-Н,1913
