"id","parent_id/id","main_name","name","description","excise_code"
"l10n_ua_product_classification.product_classification_79575","l10n_ua_product_classification.product_classification_79574","","","інші:",""
"l10n_ua_product_classification.product_classification_79576","l10n_ua_product_classification.product_classification_79575","","0104103000","ягнята  (віком  до  одного  року)",""
"l10n_ua_product_classification.product_classification_79577","l10n_ua_product_classification.product_classification_79575","","0104108000","інші",""
"l10n_ua_product_classification.product_classification_79578","l10n_ua_product_classification.product_classification_79574","","0104101000","чистопородні  племінні  тварини",""
"l10n_ua_product_classification.product_classification_79579","l10n_ua_product_classification.product_classification_79573","","010420","кози:",""
"l10n_ua_product_classification.product_classification_79580","l10n_ua_product_classification.product_classification_79579","","0104201000","чистопородні  племінні  тварини",""
"l10n_ua_product_classification.product_classification_79581","l10n_ua_product_classification.product_classification_79579","","0104209000","інші",""
"l10n_ua_product_classification.product_classification_79582","l10n_ua_product_classification.classification_1","","0105","Свійська  птиця,  тобто  кури  свійські  (Gallus  domestіcus),  качки,  гуси,  індики  та  цесарки,  живі:",""
"l10n_ua_product_classification.product_classification_79583","l10n_ua_product_classification.product_classification_79582","","","інші:",""
"l10n_ua_product_classification.product_classification_79584","l10n_ua_product_classification.product_classification_79583","","01059400","кури  свійські  (Gallus  domestіcus):",""
"l10n_ua_product_classification.product_classification_79585","l10n_ua_product_classification.product_classification_79584","","0105940010","курчата  племінні  90120денні",""
"l10n_ua_product_classification.product_classification_79586","l10n_ua_product_classification.product_classification_79584","","0105940090","інші",""
"l10n_ua_product_classification.product_classification_79587","l10n_ua_product_classification.product_classification_79583","","010599","інші:",""
"l10n_ua_product_classification.product_classification_79588","l10n_ua_product_classification.product_classification_79587","","0105991000","качки",""
"l10n_ua_product_classification.product_classification_79589","l10n_ua_product_classification.product_classification_79587","","0105992000","гуси",""
"l10n_ua_product_classification.product_classification_79590","l10n_ua_product_classification.product_classification_79587","","0105993000","індики",""
"l10n_ua_product_classification.product_classification_79591","l10n_ua_product_classification.product_classification_79587","","0105995000","цесарки",""
"l10n_ua_product_classification.product_classification_79592","l10n_ua_product_classification.product_classification_79582","","","масою  не  більш  як  185 г:",""
"l10n_ua_product_classification.product_classification_79593","l10n_ua_product_classification.product_classification_79592","","010511","кури  свійські  (Gallus  domestіcus):",""
"l10n_ua_product_classification.product_classification_79594","l10n_ua_product_classification.product_classification_79593","","","інші:",""
"l10n_ua_product_classification.product_classification_79595","l10n_ua_product_classification.product_classification_79594","","0105119100","яєчних  порід",""
"l10n_ua_product_classification.product_classification_79596","l10n_ua_product_classification.product_classification_79594","","0105119900","інші",""
"l10n_ua_product_classification.product_classification_79597","l10n_ua_product_classification.product_classification_79593","","","курчата  прабатьківських  та  материнських  ліній  племінного  виведення:",""
"l10n_ua_product_classification.product_classification_79598","l10n_ua_product_classification.product_classification_79597","","0105111100","яєчних  порід",""
"l10n_ua_product_classification.product_classification_79599","l10n_ua_product_classification.product_classification_79597","","0105111900","інші",""
"l10n_ua_product_classification.product_classification_79600","l10n_ua_product_classification.product_classification_79592","","0105120000","індики",""
"l10n_ua_product_classification.product_classification_79601","l10n_ua_product_classification.product_classification_79592","","0105130000","качки",""
"l10n_ua_product_classification.product_classification_79602","l10n_ua_product_classification.product_classification_79592","","0105140000","гуси",""
"l10n_ua_product_classification.product_classification_79603","l10n_ua_product_classification.product_classification_79592","","0105150000","цесарки",""
"l10n_ua_product_classification.product_classification_79604","l10n_ua_product_classification.classification_1","","0106","Інші  тварини,  живі:",""
"l10n_ua_product_classification.product_classification_79605","l10n_ua_product_classification.product_classification_79604","","","ссавці:",""
"l10n_ua_product_classification.product_classification_79606","l10n_ua_product_classification.product_classification_79605","","01061100","примати:",""
"l10n_ua_product_classification.product_classification_79607","l10n_ua_product_classification.product_classification_79606","","0106110010","для  зоопарків",""
